CPU 7 DTS        | na         |            | na    | na        | na        | na        | na        | na        | na
CPU 8 Temp       | na         |            | na    | na        | na        | na        | na        | na        | na
CPU 8 DTS        | na         |            | na    | na        | na        | na        | na        | na        | na
PCH Overtemp     | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Card1 Overtemp   | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Card2 Overtemp   | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Card3 Overtemp   | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Card4 Overtemp   | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Card5 Overtemp   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Card6 Overtemp   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Card7 Overtemp   | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Card8 Overtemp   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Card9 Overtemp   | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Card10 Overtemp  | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Card11 Overtemp  | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Card12 Overtemp  | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Card13 Overtemp  | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Card14 Overtemp  | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Card15 Overtemp  | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Card16 Overtemp  | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Card17 Overtemp  | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Card18 Overtemp  | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Card19 Overtemp  | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Drive Overtemp   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Sys Fan Pwr      | 12.000     | Watts      | ok    | na        | na        | na        | na        | na        | na
Fan 1 Tach       | 7104.000   | RPM        | ok    | na        | 640.000   | na        | na        | na        | na
Fan 1 PFA        | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Fan 2 Tach       | 6400.000   | RPM        | ok    | na        | 640.000   | na        | na        | na        | na
Fan 2 PFA        | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Fan 3 Tach       | 7104.000   | RPM        | ok    | na        | 640.000   | na        | na        | na        | na
Fan 3 PFA        | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Fan 4 Tach       | 7040.000   | RPM        | ok    | na        | 640.000   | na        | na        | na        | na
Fan 4 PFA        | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Fan 5 Tach       | 6464.000   | RPM        | ok    | na        | 640.000   | na        | na        | na        | na
Fan 5 PFA        | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Fan 6 Tach       | 7104.000   | RPM        | ok    | na        | 640.000   | na        | na        | na        | na
Fan 6 PFA        | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Fan Mismatch     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU Mismatch     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU Population   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU Type Err     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
